Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales
Wii Sports,Wii,2006,Sports,Nintendo,82.53
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37
Tetris,GB,1989,Puzzle,Nintendo,30.26
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8
Wii Play,Wii,2006,Misc,Nintendo,28.92
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32
Duck Hunt,NES,1984,Shooter,Nintendo,28.31
